fragment.ID.full,fragment.ID,species,genotype,chamber.channel,run,temp.Cat,start.time,stop.time,light_dark,treatment
PV23_D_20_O2,PV23_D,P. verrucosa,23,9,D2,20,3:58:00 AM,4:18:00 AM,dark,control
PV25_D_20_O2,PV25_D,P. verrucosa,25,1,D2,20,3:58:00 AM,4:18:00 AM,dark,control
BLANK3_D_20_O2,BLANK3_D,P. verrucosa,BLANK,7,D2,20,3:58:00 AM,4:18:00 AM,dark,BLANK
BLANK4_D_20_O2,BLANK4_D,P. verrucosa,BLANK,10,D2,20,3:58:00 AM,4:18:00 AM,dark,BLANK
PV1_D_22_O2,PV1_D,P. verrucosa,1,8,D2,22,4:33:00 AM,4:53:00 AM,dark,enriched
PV2_D_22_O2,PV2_D,P. verrucosa,2,4,D2,22,4:33:00 AM,4:53:00 AM,dark,enriched
PV7_D_22_O2,PV7_D,P. verrucosa,7,5,D2,22,4:33:00 AM,4:53:00 AM,dark,enriched
PV13_D_22_O2,PV13_D,P. verrucosa,13,2,D2,22,4:33:00 AM,4:53:00 AM,dark,enriched
PV17_D_22_O2,PV17_D,P. verrucosa,17,6,D2,22,4:33:00 AM,4:53:00 AM,dark,control
PV19_D_22_O2,PV19_D,P. verrucosa,19,3,D2,22,4:33:00 AM,4:53:00 AM,dark,control
PV23_D_22_O2,PV23_D,P. verrucosa,23,9,D2,22,4:33:00 AM,4:53:00 AM,dark,control
PV25_D_22_O2,PV25_D,P. verrucosa,25,1,D2,22,4:33:00 AM,4:53:00 AM,dark,control
BLANK3_D_22_O2,BLANK3_D,P. verrucosa,BLANK,7,D2,22,4:33:00 AM,4:53:00 AM,dark,BLANK
BLANK4_D_22_O2,BLANK4_D,P. verrucosa,BLANK,10,D2,22,4:33:00 AM,4:53:00 AM,dark,BLANK
PV1_D_24_O2,PV1_D,P. verrucosa,1,8,D2,24,5:09:00 AM,5:29:00 AM,dark,enriched
PV2_D_24_O2,PV2_D,P. verrucosa,2,4,D2,24,5:09:00 AM,5:29:00 AM,dark,enriched
PV7_D_24_O2,PV7_D,P. verrucosa,7,5,D2,24,5:09:00 AM,5:29:00 AM,dark,enriched
PV13_D_24_O2,PV13_D,P. verrucosa,13,2,D2,24,5:09:00 AM,5:29:00 AM,dark,enriched
PV17_D_24_O2,PV17_D,P. verrucosa,17,6,D2,24,5:09:00 AM,5:29:00 AM,dark,control
PV19_D_24_O2,PV19_D,P. verrucosa,19,3,D2,24,5:09:00 AM,5:29:00 AM,dark,control
PV23_D_24_O2,PV23_D,P. verrucosa,23,9,D2,24,5:09:00 AM,5:29:00 AM,dark,control
PV25_D_24_O2,PV25_D,P. verrucosa,25,1,D2,24,5:09:00 AM,5:29:00 AM,dark,control
BLANK3_D_24_O2,BLANK3_D,P. verrucosa,BLANK,7,D2,24,5:09:00 AM,5:29:00 AM,dark,BLANK
