"","tank.number","Date.Time","Temp"
"513",1,2019-10-23 03:38:00,26.683
"514",1,2019-10-23 04:08:00,26.585
"515",1,2019-10-23 04:38:00,26.488
"516",1,2019-10-23 05:08:00,26.488
"517",1,2019-10-23 05:38:00,26.39
"518",1,2019-10-23 06:08:00,26.39
"519",1,2019-10-23 06:38:00,26.292
"520",1,2019-10-23 07:08:00,26.195
"521",1,2019-10-23 07:38:00,26.195
"522",1,2019-10-23 08:08:00,26.097
"523",1,2019-10-23 08:38:00,26.097
"524",1,2019-10-23 09:08:00,26
"525",1,2019-10-23 09:38:00,26
"526",1,2019-10-23 10:08:00,26.097
"527",1,2019-10-23 10:38:00,26.195
"528",1,2019-10-23 11:08:00,26.39
"529",1,2019-10-23 11:38:00,26.488
"530",1,2019-10-23 12:08:00,26.683
"531",1,2019-10-23 12:38:00,26.977
"532",1,2019-10-23 13:08:00,27.173
"533",1,2019-10-23 13:38:00,27.468
"534",1,2019-10-23 14:08:00,27.468
"535",1,2019-10-23 14:38:00,27.764
"536",1,2019-10-23 15:08:00,28.06
"537",1,2019-10-23 15:38:00,28.258
"538",1,2019-10-23 16:08:00,28.456
"539",1,2019-10-23 16:38:00,28.655
"540",1,2019-10-23 17:08:00,28.754
"541",1,2019-10-23 17:38:00,28.754
"542",1,2019-10-23 18:08:00,28.754
"543",1,2019-10-23 18:38:00,28.853
"544",1,2019-10-23 19:08:00,28.754
"545",1,2019-10-23 19:38:00,28.655
"546",1,2019-10-23 20:08:00,28.555
"547",1,2019-10-23 20:38:00,28.357
"548",1,2019-10-23 21:08:00,28.159
"549",1,2019-10-23 21:38:00,27.961
"550",1,2019-10-23 22:08:00,27.862
"551",1,2019-10-23 22:38:00,27.665
"552",1,2019-10-23 23:08:00,27.567
"553",1,2019-10-23 23:38:00,27.468
"554",1,2019-10-24 00:08:00,27.37
"555",1,2019-10-24 00:38:00,27.272
"556",1,2019-10-24 01:08:00,27.075
"557",1,2019-10-24 01:38:00,26.977
"558",1,2019-10-24 02:08:00,26.879
"559",1,2019-10-24 02:38:00,26.781
"560",1,2019-10-24 03:08:00,26.683
"561",1,2019-10-24 03:38:00,26.585
"562",1,2019-10-24 04:08:00,26.488
"563",1,2019-10-24 04:38:00,26.39
"564",1,2019-10-24 05:08:00,26.39
"565",1,2019-10-24 05:38:00,26.292
"566",1,2019-10-24 06:08:00,26.195
"567",1,2019-10-24 06:38:00,26.097
"568",1,2019-10-24 07:08:00,26
"569",1,2019-10-24 07:38:00,25.902
"570",1,2019-10-24 08:08:00,25.902
"571",1,2019-10-24 08:38:00,25.805
"572",1,2019-10-24 09:08:00,25.805
"573",1,2019-10-24 09:38:00,25.805
"574",1,2019-10-24 10:08:00,25.805
"575",1,2019-10-24 10:38:00,26
"576",1,2019-10-24 11:08:00,26.195
"577",1,2019-10-24 11:38:00,26.39
"578",1,2019-10-24 12:08:00,26.488
"579",1,2019-10-24 12:38:00,26.879
"580",1,2019-10-24 13:08:00,27.173
"581",1,2019-10-24 13:38:00,27.468
"582",1,2019-10-24 14:08:00,27.665
"583",1,2019-10-24 14:38:00,27.961
"584",1,2019-10-24 15:08:00,28.159
"585",1,2019-10-24 15:38:00,28.357
"586",1,2019-10-24 16:08:00,28.456
"587",1,2019-10-24 16:38:00,28.555
"588",1,2019-10-24 17:08:00,28.655
"589",1,2019-10-24 17:38:00,28.555
"590",1,2019-10-24 18:08:00,28.555
"591",1,2019-10-24 18:38:00,28.555
"592",1,2019-10-24 19:08:00,28.456
"593",1,2019-10-24 19:38:00,28.357
"594",1,2019-10-24 20:08:00,28.159
"595",1,2019-10-24 20:38:00,27.961
"596",1,2019-10-24 21:08:00,27.862
"597",1,2019-10-24 21:38:00,27.665
"598",1,2019-10-24 22:08:00,27.567
"599",1,2019-10-24 22:38:00,27.468
"600",1,2019-10-24 23:08:00,27.272
"601",1,2019-10-24 23:38:00,27.173
"602",1,2019-10-25 00:08:00,27.075
"603",1,2019-10-25 00:38:00,27.075
"604",1,2019-10-25 01:08:00,26.977
"605",1,2019-10-25 01:38:00,26.879
"606",1,2019-10-25 02:08:00,26.781
"607",1,2019-10-25 02:38:00,26.683
"608",1,2019-10-25 03:08:00,26.585
"609",1,2019-10-25 03:38:00,26.488
"610",1,2019-10-25 04:08:00,26.488
"611",1,2019-10-25 04:38:00,26.39
"612",1,2019-10-25 05:08:00,26.292
"613",1,2019-10-25 05:38:00,26.195
"614",1,2019-10-25 06:08:00,26.097
"615",1,2019-10-25 06:38:00,26
"616",1,2019-10-25 07:08:00,26
"617",1,2019-10-25 07:38:00,25.902
"618",1,2019-10-25 08:08:00,25.805
"619",1,2019-10-25 08:38:00,25.708
"620",1,2019-10-25 09:08:00,25.708
"621",1,2019-10-25 09:38:00,25.708
"622",1,2019-10-25 10:08:00,25.708
"623",1,2019-10-25 10:38:00,25.902
"624",1,2019-10-25 11:08:00,26.097
"625",1,2019-10-25 11:38:00,26.292
"626",1,2019-10-25 12:08:00,26.39
"627",1,2019-10-25 12:38:00,26.683
"628",1,2019-10-25 13:08:00,26.977
"629",1,2019-10-25 13:38:00,27.272
"630",1,2019-10-25 14:08:00,27.567
"631",1,2019-10-25 14:38:00,27.665
"632",1,2019-10-25 15:08:00,27.665
"633",1,2019-10-25 15:38:00,28.06
"634",1,2019-10-25 16:08:00,27.961
"635",1,2019-10-25 16:38:00,27.961
"636",1,2019-10-25 17:08:00,28.159
"637",1,2019-10-25 17:38:00,28.159
"638",1,2019-10-25 18:08:00,28.258
"639",1,2019-10-25 18:38:00,28.159
"640",1,2019-10-25 19:08:00,28.06
"641",1,2019-10-25 19:38:00,27.961
