"","individual.ID","temp.Cat","treatment","Temp.C","umol.cm2.hr","rate.type","light_dark","fragment.ID"
"375","PV16",30,"enriched",30.0729591836735,0.412636318530225,"R","dark","PV16_D"
"376","PV26",30,"control",30.1820625,0.388135453074083,"R","dark","PV26_D"
"377","PV27",30,"control",30.1922857142857,0.372526539374105,"R","dark","PV27_D"
"378","PV28",30,"control",29.9133125,0.435164946420295,"R","dark","PV28_D"
"379","PV31",30,"control",30.0826326530612,0.523072065026935,"R","dark","PV31_D"
"382","PV12",32,"enriched",31.8875918367347,0.679847330171998,"R","dark","PV12_D"
"383","PV14",32,"enriched",31.8458775510204,0.514431841778706,"R","dark","PV14_D"
"384","PV15",32,"enriched",31.7672040816327,0.4787404212854,"R","dark","PV15_D"
"385","PV16",32,"enriched",31.8987346938776,0.451861944264386,"R","dark","PV16_D"
"386","PV26",32,"control",31.9149183673469,0.477886516687288,"R","dark","PV26_D"
"387","PV27",32,"control",31.9669591836735,0.417102430399039,"R","dark","PV27_D"
"388","PV28",32,"control",31.7658571428571,0.53928688335362,"R","dark","PV28_D"
"389","PV31",32,"control",31.8930612244898,0.583389855811611,"R","dark","PV31_D"
"392","PV12",34,"enriched",33.7205416666667,0.762300355393066,"R","dark","PV12_D"
"393","PV14",34,"enriched",33.7150208333333,0.546031387695841,"R","dark","PV14_D"
"394","PV15",34,"enriched",33.5798541666667,0.577390494003131,"R","dark","PV15_D"
"395","PV16",34,"enriched",33.612125,0.477044367610366,"R","dark","PV16_D"
"396","PV26",34,"control",33.7058958333333,0.532881568539644,"R","dark","PV26_D"
"397","PV27",34,"control",33.8284791666667,0.501673069633818,"R","dark","PV27_D"
"398","PV28",34,"control",33.577625,0.569756002468864,"R","dark","PV28_D"
"399","PV31",34,"control",33.72175,0.688871322098677,"R","dark","PV31_D"
"402","PV12",36,"enriched",35.8215471698113,0.775267946763602,"R","dark","PV12_D"
"403","PV14",36,"enriched",35.6842641509434,0.571667460266046,"R","dark","PV14_D"
"404","PV15",36,"enriched",35.8940943396226,0.567647565570852,"R","dark","PV15_D"
"405","PV16",36,"enriched",35.5739811320755,0.453616401098955,"R","dark","PV16_D"
"406","PV26",36,"control",35.8553773584906,0.496725134154838,"R","dark","PV26_D"
"407","PV27",36,"control",36.0577735849057,0.459564862396968,"R","dark","PV27_D"
